Time, z, vz, sphericity, size
0.710000, 0.699556, 0.345636, 1.007462, 0.000000
0.712500, 0.700404, 0.345499, 1.007453, 0.000000
0.715000, 0.701250, 0.345376, 1.007445, 0.000000
0.717500, 0.702094, 0.345267, 1.007436, 0.000000
0.720000, 0.702937, 0.345169, 1.007428, 0.000000
0.722500, 0.703778, 0.345079, 1.007421, 0.000000
0.725000, 0.704619, 0.344996, 1.007415, 0.000000
0.727500, 0.705459, 0.344914, 1.007409, 0.000000
0.730000, 0.706299, 0.344826, 1.007404, 0.000000
0.732500, 0.707139, 0.344729, 1.007400, 0.000000
0.735000, 0.707979, 0.344619, 1.007396, 0.000000
0.737500, 0.708820, 0.344494, 1.007395, 0.000000
0.740000, 0.709663, 0.344353, 1.007397, 0.000000
0.742500, 0.710508, 0.344192, 1.007400, 0.000000
0.745000, 0.711355, 0.344014, 1.007404, 0.000000
0.747500, 0.712205, 0.343820, 1.007410, 0.000000
0.750000, 0.713057, 0.343611, 1.007416, 0.000000
0.752500, 0.713913, 0.343388, 1.007422, 0.000000
0.755000, 0.714771, 0.343154, 1.007429, 0.000000
0.757500, 0.715632, 0.342910, 1.007436, 0.000000
0.760000, 0.716495, 0.342660, 1.007443, 0.000000
0.762500, 0.717360, 0.342404, 1.007450, 0.000000
0.765000, 0.718228, 0.342146, 1.007458, 0.000000
0.767500, 0.719098, 0.341887, 1.007466, 0.000000
0.770000, 0.719971, 0.341628, 1.007474, 0.000000
0.772500, 0.720845, 0.341373, 1.007481, 0.000000
0.775000, 0.721721, 0.341122, 1.007488, 0.000000
0.777500, 0.722598, 0.340878, 1.007496, 0.000000
0.780000, 0.723477, 0.340642, 1.007504, 0.000000
0.782500, 0.724358, 0.340415, 1.007513, 0.000000
0.785000, 0.725241, 0.340198, 1.007521, 0.000000
0.787500, 0.726126, 0.339992, 1.007530, 0.000000
0.790000, 0.727012, 0.339795, 1.007538, 0.000000
0.792500, 0.727899, 0.339605, 1.007546, 0.000000
0.795000, 0.728788, 0.339418, 1.007554, 0.000000
0.797500, 0.729678, 0.339232, 1.007561, 0.000000
0.800000, 0.730568, 0.339046, 1.007566, 0.000000
0.802500, 0.731459, 0.338860, 1.007571, 0.000000
0.805000, 0.732350, 0.338674, 1.007574, 0.000000
0.807500, 0.733241, 0.338487, 1.007576, 0.000000
0.810000, 0.734130, 0.338298, 1.007576, 0.000000
0.812500, 0.735019, 0.338109, 1.007574, 0.000000
0.815000, 0.735906, 0.337918, 1.007571, 0.000000
0.817500, 0.736790, 0.337727, 1.007566, 0.000000
0.820000, 0.737672, 0.337535, 1.007559, 0.000000
0.822500, 0.738551, 0.337342, 1.007552, 0.000000
0.825000, 0.739428, 0.337151, 1.007544, 0.000000
0.827500, 0.740302, 0.336961, 1.007535, 0.000000
0.830000, 0.741172, 0.336777, 1.007524, 0.000000
0.832500, 0.742040, 0.336602, 1.007510, 0.000000
0.835000, 0.742904, 0.336441, 1.007495, 0.000000
0.837500, 0.743765, 0.336294, 1.007478, 0.000000
0.840000, 0.744622, 0.336161, 1.007460, 0.000000
0.842500, 0.745476, 0.336040, 1.007440, 0.000000
0.845000, 0.746327, 0.335929, 1.007419, 0.000000
0.847500, 0.747173, 0.335827, 1.007397, 0.000000
0.850000, 0.748016, 0.335731, 1.007376, 0.000000
0.852500, 0.748856, 0.335641, 1.007356, 0.000000
0.855000, 0.749692, 0.335552, 1.007337, 0.000000
0.857500, 0.750525, 0.335463, 1.007320, 0.000000
0.860000, 0.751355, 0.335373, 1.007305, 0.000000
0.862500, 0.752183, 0.335279, 1.007291, 0.000000
0.865000, 0.753008, 0.335181, 1.007278, 0.000000
0.867500, 0.753831, 0.335079, 1.007266, 0.000000
0.870000, 0.754652, 0.334974, 1.007256, 0.000000
0.872500, 0.755470, 0.334863, 1.007246, 0.000000
0.875000, 0.756287, 0.334747, 1.007237, 0.000000
