Time, z, vz, sphericity, size
0.031250, 0.506691, 0.432775, 1.008130, 0.000000
0.031500, 0.506803, 0.436135, 1.008130, 0.000000
0.031750, 0.506916, 0.439493, 1.008129, 0.000000
0.032000, 0.507030, 0.442849, 1.008128, 0.000000
0.032250, 0.507145, 0.446202, 1.008128, 0.000000
0.032500, 0.507260, 0.449554, 1.008127, 0.000000
0.032750, 0.507377, 0.452904, 1.008126, 0.000000
0.033000, 0.507495, 0.456252, 1.008125, 0.000000
0.033250, 0.507613, 0.459598, 1.008125, 0.000000
0.033500, 0.507733, 0.462941, 1.008124, 0.000000
0.033750, 0.507853, 0.466283, 1.008124, 0.000000
0.034000, 0.507975, 0.469623, 1.008123, 0.000000
0.034250, 0.508097, 0.472960, 1.008122, 0.000000
0.034500, 0.508220, 0.476296, 1.008121, 0.000000
0.034750, 0.508344, 0.479629, 1.008121, 0.000000
0.035000, 0.508470, 0.482961, 1.008120, 0.000000
0.035250, 0.508596, 0.486290, 1.008119, 0.000000
0.035500, 0.508723, 0.489617, 1.008119, 0.000000
0.035750, 0.508851, 0.492942, 1.008118, 0.000000
0.036000, 0.508980, 0.496265, 1.008117, 0.000000
0.036250, 0.509109, 0.499586, 1.008117, 0.000000
0.036500, 0.509240, 0.502905, 1.008116, 0.000000
0.036750, 0.509372, 0.506221, 1.008116, 0.000000
0.037000, 0.509505, 0.509536, 1.008115, 0.000000
0.037250, 0.509638, 0.512848, 1.008115, 0.000000
0.037500, 0.509773, 0.516159, 1.008114, 0.000000
0.037750, 0.509908, 0.519467, 1.008114, 0.000000
0.038000, 0.510045, 0.522773, 1.008113, 0.000000
0.038250, 0.510182, 0.526076, 1.008113, 0.000000
0.038500, 0.510320, 0.529378, 1.008112, 0.000000
0.038750, 0.510459, 0.532678, 1.008112, 0.000000
0.039000, 0.510599, 0.535975, 1.008111, 0.000000
0.039250, 0.510740, 0.539270, 1.008110, 0.000000
0.039500, 0.510882, 0.542563, 1.008110, 0.000000
0.039750, 0.511025, 0.545853, 1.008109, 0.000000
0.040000, 0.511169, 0.549142, 1.008109, 0.000000
0.040250, 0.511314, 0.552428, 1.008108, 0.000000
0.040500, 0.511459, 0.555712, 1.008107, 0.000000
0.040750, 0.511606, 0.558993, 1.008107, 0.000000
0.041000, 0.511753, 0.562273, 1.008106, 0.000000
0.041250, 0.511902, 0.565549, 1.008106, 0.000000
0.041500, 0.512051, 0.568824, 1.008105, 0.000000
0.041750, 0.512201, 0.572096, 1.008105, 0.000000
0.042000, 0.512352, 0.575366, 1.008104, 0.000000
0.042250, 0.512505, 0.578633, 1.008103, 0.000000
0.042500, 0.512657, 0.581898, 1.008102, 0.000000
0.042750, 0.512811, 0.585161, 1.008102, 0.000000
0.043000, 0.512966, 0.588421, 1.008101, 0.000000
0.043250, 0.513122, 0.591678, 1.008100, 0.000000
0.043500, 0.513279, 0.594934, 1.008099, 0.000000
0.043750, 0.513436, 0.598186, 1.008099, 0.000000
0.044000, 0.513595, 0.601436, 1.008098, 0.000000
0.044250, 0.513755, 0.604684, 1.008097, 0.000000
0.044500, 0.513915, 0.607929, 1.008096, 0.000000
0.044750, 0.514076, 0.611171, 1.008095, 0.000000
0.045000, 0.514239, 0.614411, 1.008095, 0.000000
0.045250, 0.514402, 0.617648, 1.008094, 0.000000
0.045500, 0.514566, 0.620882, 1.008094, 0.000000
0.045750, 0.514731, 0.624113, 1.008093, 0.000000
0.046000, 0.514897, 0.627342, 1.008092, 0.000000
0.046250, 0.515063, 0.630568, 1.008092, 0.000000
0.046500, 0.515231, 0.633792, 1.008091, 0.000000
0.046750, 0.515400, 0.637012, 1.008091, 0.000000
0.047000, 0.515569, 0.640230, 1.008090, 0.000000
0.047250, 0.515739, 0.643445, 1.008090, 0.000000
0.047500, 0.515911, 0.646657, 1.008089, 0.000000
0.047750, 0.516083, 0.649866, 1.008088, 0.000000
0.048000, 0.516256, 0.653072, 1.008088, 0.000000
0.048250, 0.516429, 0.656275, 1.008087, 0.000000
0.048500, 0.516604, 0.659476, 1.008087, 0.000000
0.048750, 0.516780, 0.662673, 1.008086, 0.000000
0.049000, 0.516956, 0.665868, 1.008085, 0.000000
0.049250, 0.517133, 0.669059, 1.008085, 0.000000
0.049500, 0.517311, 0.672247, 1.008084, 0.000000
0.049750, 0.517490, 0.675432, 1.008083, 0.000000
0.050000, 0.517670, 0.678614, 1.008083, 0.000000
0.050250, 0.517850, 0.681792, 1.008082, 0.000000
0.050500, 0.518031, 0.684968, 1.008081, 0.000000
0.050750, 0.518213, 0.688140, 1.008080, 0.000000
0.051000, 0.518397, 0.691309, 1.008079, 0.000000
0.051250, 0.518580, 0.694475, 1.008078, 0.000000
0.051500, 0.518765, 0.697637, 1.008078, 0.000000
0.051750, 0.518951, 0.700796, 1.008077, 0.000000
0.052000, 0.519137, 0.703952, 1.008076, 0.000000
0.052250, 0.519324, 0.707104, 1.008075, 0.000000
0.052500, 0.519512, 0.710253, 1.008074, 0.000000
0.052750, 0.519701, 0.713398, 1.008073, 0.000000
0.053000, 0.519890, 0.716539, 1.008073, 0.000000
